salario_bruto,seniority,experiencia,nivel_estudios,estado_estudios,lenguajes,genero,es_dolarizado
6000000.0,Senior,20,,,".NET, C#, SQL, TypeScript",Hombre Cis,True
6000000.0,Senior,14,,,"Assembler, Bash/Shell, C, Groovy, Java, Javascript, Python, SQL, TypeScript",Hombre Cis,True
2850000.0,Semi-Senior,3,,,"Python, SQL",Hombre Cis,True
3000000.0,Semi-Senior,4,,,"CSS, HTML, Javascript",Mujer Cis,True
3700000.0,Senior,6,,,Python,Hombre Cis,True
7500000.0,Senior,10,Universitario,Completo,"HTML, Python, SQL",Hombre Cis,True
3600000.0,Senior,17,,,Python,Hombre Cis,True
3750000.0,Semi-Senior,3,Universitario,En curso,"CSS, HTML, Javascript, Liquid",Mujer Cis,True
3424985.22,Semi-Senior,4,Universitario,Incompleto,"Bash/Shell, HTML, Javascript, Python, SQL, TypeScript",Hombre Cis,True
10835000.0,Senior,8,Universitario,Incompleto,Python,Hombre Cis,True
4333000.0,Senior,6,,,"Go, Java, Python",Prefiero no decir,True
6900963.0,Senior,8,,,"HTML, Java, Javascript, PHP, Python",Hombre Cis,True
6750000.0,Senior,8,,,"CSS, HTML, Javascript, SQL, TypeScript",Mujer Cis,True
12896000.0,Senior,10,Universitario,Completo,Java,Mujer Cis,True
12000000.0,Senior,10,,,Python,Hombre Cis,True
4600000.0,Senior,6,,,Python,Hombre Cis,True
2700000.0,Semi-Senior,3,Universitario,Incompleto,Python,Mujer Cis,True
8800000.0,Senior,11,Universitario,En curso,"CSS, HTML, Javascript, TypeScript",Hombre Cis,True
4500000.0,Senior,16,,,"Bash/Shell, CSS, Groovy, HTML, Javascript, PHP, Python, SQL, TypeScript",Hombre Cis,True
9000000.0,Senior,8,,,"Bash/Shell, Python, Rust, SQL",Hombre Cis,True
6500000.0,Senior,10,Universitario,Completo,"Javascript, Python, Ruby, SQL, TypeScript",Hombre Cis,True
3223710.0,Semi-Senior,3,,,"Bash/Shell, Python, SQL",Hombre Cis,True
2280000.0,Senior,6,,,"CSS, HTML, Javascript",Mujer Cis,True
2000000.0,Senior,15,,,Ninguno de los anteriores,Hombre Cis,True
11000000.0,Senior,16,,,"CSS, Go, HTML, Javascript, TypeScript",Hombre Cis,True
4712500.0,Senior,6,,,"Bash/Shell, Python",Hombre Cis,True
4900000.0,Senior,6,,,"CSS, HTML, Javascript, SQL, TypeScript",Hombre Cis,True
300000.0,Senior,15,,,"CSS, HTML",Mujer Cis,True
5000000.0,Senior,16,,,"Bash/Shell, CSS, HTML, Javascript, TypeScript",Hombre Cis,True
4970000.0,Semi-Senior,5,,,"HTML, Javascript, TypeScript",Mujer Cis,True
8000000.0,Senior,6,,,Bash/Shell,Hombre Cis,True
3640000.0,Senior,6,Universitario,Completo,"HTML, Ruby",Mujer Cis,True
13000000.0,Senior,12,,,"CSS, HTML, Javascript, PHP, Python, SQL, TypeScript",Hombre Cis,True
5680000.0,Senior,6,,,"SQL, TypeScript",Hombre Cis,True
2640000.0,Semi-Senior,4,Universitario,En curso,"CSS, HTML, Javascript, PHP, SQL, TypeScript",Hombre Cis,True
3100000.0,Semi-Senior,5,,,Python,Mujer Cis,True
3575000.0,Semi-Senior,3,Secundario,Completo,"CSS, Javascript, TypeScript",Hombre Cis,True
1330000.0,Semi-Senior,4,Terciario,En curso,Ninguno de los anteriores,Mujer Cis,True
4500000.0,Senior,20,Terciario,Completo,".NET, C#, HTML, TypeScript",Hombre Cis,True
6000000.0,Senior,20,Universitario,Completo,"Java, Scala",Hombre Cis,True
2200000.0,Senior,8,Universitario,Incompleto,"CSS, HTML, Javascript, SQL",Hombre Cis,True
1557703.0,Semi-Senior,4,,,"HTML, Javascript, Apex",Mujer Cis,True
2090000.0,Senior,14,Terciario,Incompleto,Ninguno de los anteriores,Hombre Cis,True
11600000.0,Senior,30,,,Ninguno de los anteriores,Hombre Cis,True
1208015.42,Semi-Senior,4,,,"CSS, HTML, Javascript, TypeScript",Mujer Cis,True
2300000.0,Semi-Senior,4,Universitario,En curso,"CSS, HTML, Javascript, PHP, TypeScript",Hombre Cis,True
2187000.0,Semi-Senior,3,,,COBOL,Hombre Cis,True
2580000.0,Semi-Senior,4,,,Ninguno de los anteriores,Mujer Cis,True
5250000.0,Semi-Senior,4,,,Ninguno de los anteriores,Hombre Cis,True
8360000.0,Senior,10,,,"CSS, HTML, Javascript, Kotlin, PHP, Python, SQL, TypeScript",Hombre Cis,True
5000000.0,Senior,20,Maestría,Completo,"Python, TypeScript",Hombre Cis,True
2700000.0,Semi-Senior,3,Universitario,En curso,"Bash/Shell, Java",Hombre Cis,True
16000000.0,Senior,20,,,"Java, Javascript, PHP",Hombre Cis,True
6700000.0,Senior,17,,,Ninguno de los anteriores,Hombre Cis,True
9292000.0,Senior,14,Universitario,Completo,"Go, Java, Javascript, Python, SQL, TypeScript",Hombre Cis,True
6525000.0,Senior,11,Universitario,Completo,".NET, Java, Python, SQL, TypeScript",Hombre Cis,True
2100000.0,Semi-Senior,3,,,Javascript,Hombre Cis,True
1260000.0,Junior,2,,,Python,Hombre Cis,True
3500000.0,Senior,8,Universitario,Completo,"Python, SQL",Hombre Cis,True
4900000.0,Senior,20,,,"Dart, Java, Kotlin",Hombre Cis,True
3000000.0,Semi-Senior,4,,,"Java, Javascript, Python, SQL, TypeScript",Mujer Cis,True
8550000.0,Senior,9,,,"Go, SQL, TypeScript",Hombre Cis,True
5500000.0,Semi-Senior,5,,,"CSS, HTML, Javascript, PHP, SQL, VBA",Hombre Cis,True
4200000.0,Senior,20,Universitario,Completo,Ninguno de los anteriores,Hombre Cis,True
11000000.0,Senior,25,,,"HTML, Javascript, Kotlin",Hombre Cis,True
2400000.0,Semi-Senior,3,Universitario,Incompleto,"Bash/Shell, C++, Javascript, PHP, Python, SQL",Hombre Cis,True
10500000.0,Senior,8,Universitario,Completo,"Javascript, TypeScript",Hombre Cis,True
4071365.0,Senior,6,Universitario,Completo,"Javascript, TypeScript",Hombre Cis,True
4500000.0,Semi-Senior,5,Universitario,En curso,"Dart, Java, Python, TypeScript",Hombre Cis,True
6615000.0,Senior,10,,,"Java, Kotlin, Python, Swift, TypeScript",Hombre Cis,True
3500000.0,Senior,25,,,"Bash/Shell, SQL, Ansible",Hombre Cis,True
4900000.0,Senior,13,Universitario,Completo,"Bash/Shell, PHP, Python",Hombre Cis,True
1824000.0,Junior,2,Universitario,Completo,Ninguno de los anteriores,Mujer Cis,True
2000000.0,Senior,10,,,"Java, SQL",Hombre Cis,True
7250000.0,Semi-Senior,3,Universitario,Completo,"Javascript, Python, Rust, Solidity, TypeScript",Hombre Cis,True
7700000.0,Senior,18,Universitario,Completo,Java,Hombre Cis,True
3642000.0,Senior,30,,,Ninguno de los anteriores,Hombre Cis,True
2866436.18,Senior,6,,,"HTML, Java, Javascript, SQL",Hombre Cis,True
3268000.0,Senior,26,,,"Bash/Shell, SQL, VBA",Hombre Cis,True
5600000.0,Semi-Senior,5,,,Ninguno de los anteriores,Mujer Cis,True
5000000.0,Senior,25,,,Ninguno de los anteriores,Mujer Cis,True
7000000.0,Senior,10,,,"Python, SQL",Hombre Cis,True
5000000.0,Senior,10,,,"CSS, HTML, Javascript, TypeScript",Mujer Cis,True
3200000.0,Semi-Senior,5,Maestría,En curso,"CSS, HTML, Javascript, PHP, SQL, TypeScript",Mujer Cis,True
1725000.0,Junior,2,Universitario,Completo,"HTML, Javascript, Python",Mujer Cis,True
3100000.0,Senior,10,Universitario,Completo,"PHP, Python",Hombre Cis,True
2899000.0,Semi-Senior,4,,,"Java, Javascript, TypeScript",Hombre Cis,True
1343100.0,Senior,7,,,"Bash/Shell, HTML, Javascript, PHP, Rust",Hombre Cis,True
1900000.0,Semi-Senior,5,,,SQL,Mujer Cis,True
9000000.0,Semi-Senior,5,,,"Go, PHP, Python, SQL",Hombre Cis,True
4118000.0,Semi-Senior,4,Universitario,Completo,".NET, C, C#, Javascript, Python, SQL, TypeScript",Hombre Cis,True
5029296.68,Semi-Senior,3,,,"Python, SQL",Hombre Cis,True
5605500.0,Senior,15,Posgrado/Especialización,Completo,"Python, SQL",Hombre Cis,True
2800000.0,Senior,12,,,HTML,Mujer Cis,True
5550000.0,Senior,10,Universitario,Completo,Ninguno de los anteriores,Hombre Cis,True
6768000.0,Senior,17,,,"CSS, HTML, Javascript, SQL, TypeScript",Hombre Cis,True
7541338.0,Senior,30,,,"Bash/Shell, C, CSS, HTML, Javascript, PHP, SQL",Hombre Cis,True
10000000.0,Senior,14,,,"Bash/Shell, Javascript, PHP, Python, SQL, TypeScript",Hombre Cis,True
2560000.0,Semi-Senior,3,,,Ninguno de los anteriores,Hombre Cis,True
2480000.0,Senior,10,,,Ninguno de los anteriores,Mujer Cis,True
12000000.0,Senior,24,,,"Assembler, Bash/Shell, Javascript, Perl, SQL, Swift, TypeScript, VBA",Hombre Cis,True
2295390.0,Senior,12,,,Java,Hombre Cis,True
4300000.0,Senior,13,,,"HTML, Java, Javascript, SQL, TypeScript",Hombre Cis,True
2700000.0,Senior,9,,,Ninguno de los anteriores,Mujer Cis,True
3300000.0,Junior,1,,,"Python, SQL",Hombre Cis,True
7250000.0,Semi-Senior,5,,,"Bash/Shell, Go, HTML, Javascript, SQL, TypeScript",Hombre Cis,True
3317061.0,Semi-Senior,3,Universitario,Completo,"Bash/Shell, Groovy, Python",Hombre Cis,True
11890000.0,Senior,18,Universitario,Completo,"Bash/Shell, CSS, HTML, Javascript, Ruby, SQL",Hombre Cis,True
15133501.0,Senior,8,Terciario,Completo,"CSS, Javascript, Ruby, SQL, TypeScript",Hombre Cis,True
6000000.0,Semi-Senior,4,,,"Bash/Shell, CSS, HTML, Javascript",Mujer Cis,True
6000000.0,Senior,6,,,Ninguno de los anteriores,Hombre Cis,True
1685000.0,Senior,28,,,Ninguno de los anteriores,Hombre Cis,True
1301030.0,Semi-Senior,3,,,Ninguno de los anteriores,Mujer Cis,True
3403299.0,Semi-Senior,4,Universitario,Completo,"Go, Javascript, Python",Hombre Cis,True
4200000.0,Senior,30,Universitario,Incompleto,".NET, Bash/Shell, C#, COBOL, Java, Javascript, Kotlin, Objective-C, Python, Scala, SQL, TypeScript, VBA",Hombre Cis,True
3450000.0,Semi-Senior,4,,,Python,Hombre Cis,True
3700000.0,Semi-Senior,4,,,"Go, Java",Hombre Cis,True
5000000.0,Senior,17,,,Ninguno de los anteriores,Mujer Cis,True
3600000.0,Senior,7,Secundario,Completo,"Bash/Shell, CSS, HTML, Java, PHP, SQL, TypeScript",Hombre Cis,True
4200000.0,Senior,7,Universitario,Incompleto,"Arduino, Go, HTML, Java, Javascript, SQL, TypeScript",Hombre Cis,True
9425000.0,Senior,14,Secundario,Incompleto,"Bash/Shell, Go, Python, SQL",Hombre Cis,True
1757000.0,Senior,30,,,Ninguno de los anteriores,Hombre Cis,True
4832999.0,Senior,8,Universitario,Incompleto,Ninguno de los anteriores,Hombre Cis,True
3000000.0,Semi-Senior,5,,,"Bash/Shell, CSS, HTML, Javascript, SQL, TypeScript",Hombre Cis,True
2182500.0,Semi-Senior,4,,,"Javascript, PHP, Python, SQL",Hombre Cis,True
6000000.0,Senior,17,,,"CSS, HTML, Javascript, TypeScript, GraphQL",Hombre Cis,True
3500000.0,Senior,12,,,".NET, Bash/Shell, HTML, PHP, Python, Ruby, SQL",Hombre Cis,True
2300000.0,Semi-Senior,5,,,Ninguno de los anteriores,Mujer Cis,True
7000000.0,Semi-Senior,5,Doctorado,Completo,Python,Hombre Cis,True
5000000.0,Semi-Senior,3,Universitario,En curso,Bash/Shell,Mujer Cis,True
5000000.0,Semi-Senior,5,Universitario,En curso,"Javascript, Python, SQL, TypeScript",Hombre Cis,True
6750000.0,Senior,7,,,"Javascript, TypeScript",Hombre Cis,True
1766133.0,Semi-Senior,3,,,Ninguno de los anteriores,Mujer Cis,True
3309700.0,Semi-Senior,3,Universitario,En curso,"CSS, HTML, Java, Javascript, Scala, TypeScript, VBA",Hombre Cis,True
4386000.0,Senior,8,,,Python,Hombre Cis,True
6300000.0,Semi-Senior,4,,,"Javascript, Kotlin, SQL, TypeScript",Hombre Cis,True
4706122.0,Junior,2,,,Ninguno de los anteriores,Hombre Cis,True
3000000.0,Semi-Senior,5,,,"CSS, HTML, Javascript, TypeScript",Hombre Cis,True
4316000.0,Semi-Senior,4,Universitario,Incompleto,"Java, Javascript, SQL",Hombre Cis,True
1900000.0,Semi-Senior,4,,,"CSS, HTML, Javascript, PHP, Python, Twig",Hombre Cis,True
1350000.0,Junior,0,,,Java,Hombre Cis,True
2400000.0,Semi-Senior,3,,,"Javascript, Python, R, SQL",Hombre Cis,True
3600000.0,Senior,6,Universitario,Completo,"CSS, HTML, Javascript, Python, SQL, TypeScript",Hombre Cis,True
4500000.0,Senior,8,,,"Bash/Shell, Java, Javascript, Kotlin, Python, SQL, TypeScript",Hombre Cis,True
8000000.0,Semi-Senior,3,,,C++,Hombre Cis,True
1980000.0,Semi-Senior,3,Universitario,En curso,SQL,Mujer Cis,True
3704778.0,Semi-Senior,4,Universitario,En curso,".NET, C#, CSS, HTML, Javascript, TypeScript",Hombre Cis,True
3000000.0,Semi-Senior,4,Universitario,Completo,"Javascript, Swift",Hombre Cis,True
5000000.0,Senior,20,Universitario,Incompleto,"Bash/Shell, Java, Python, SQL",Hombre Cis,True
2200000.0,Semi-Senior,4,,,"Javascript, Python, TypeScript",Hombre Cis,True
6557000.0,Semi-Senior,5,,,"HTML, Javascript, Python, TypeScript",Hombre Cis,True
1900000.0,Semi-Senior,3,Terciario,Completo,".NET, Javascript",Hombre Cis,True
4944960.0,Senior,22,,,"Bash/Shell, Python",Hombre Cis,True
2500000.0,Senior,11,Universitario,Completo,Ninguno de los anteriores,Mujer Cis,True
5472000.0,Semi-Senior,3,,,"Bash/Shell, Python, SQL",Hombre Cis,True
2877788.0,Senior,7,,,".NET, C#, SQL",Hombre Cis,True
1500000.0,Junior,1,Terciario,Completo,"Java, Javascript, Python, SQL",Hombre Cis,True
1470000.0,Senior,18,,,"HTML, Javascript",Mujer Cis,True
2154703.5,Junior,1,Universitario,En curso,"Python, R, SQL",Hombre Cis,True
4500000.0,Senior,18,,,".NET, C#, HTML, Java, Javascript, SQL, TypeScript",Hombre Cis,True
1765000.0,Junior,2,Terciario,Completo,"CSS, HTML, Javascript, PHP, SQL",Hombre Cis,True
2964000.0,Senior,8,Universitario,Incompleto,"CSS, HTML, Javascript, PHP, SQL",Hombre Cis,True
6414000.0,Senior,12,Universitario,Completo,"Bash/Shell, Javascript, Python, SQL",Hombre Cis,True
7256389.0,Senior,8,Universitario,Completo,"Javascript, Python",Hombre Cis,True
3482641.0,Senior,13,Universitario,Completo,".NET, C#, Javascript, SQL, TypeScript",Mujer Cis,True
4100000.0,Senior,11,,,".NET, C#, CSS, HTML, Javascript, TypeScript",Hombre Cis,True
6500000.0,Senior,8,,,Java,Hombre Cis,True
1200000.0,Senior,10,,,Ninguno de los anteriores,Hombre Cis,True
6200000.0,Senior,27,,,Ninguno de los anteriores,Mujer Cis,True
7175000.0,Senior,10,,,"COBOL, SQL",Mujer Cis,True
6000000.0,Senior,18,,,"Bash/Shell, Javascript, PHP",Hombre Cis,True
8520000.0,Senior,20,,,"C++, Javascript, Python",Hombre Cis,True
5500000.0,Senior,14,,,"Bash/Shell, Java, Javascript, SQL, TypeScript",Hombre Cis,True
2575000.0,Senior,10,,,Ninguno de los anteriores,Mujer Cis,True
4450000.0,Semi-Senior,5,Secundario,Completo,TypeScript,Hombre Cis,True
1933000.0,Junior,2,,,"Java, Javascript, PHP, Python, SQL",Hombre Cis,True
6100000.0,Senior,21,Universitario,Incompleto,"Bash/Shell, Go, Java, Python, SQL",Hombre Cis,True
4500000.0,Senior,20,,,Python,Hombre Cis,True
1300000.0,Semi-Senior,4,,,"Java, Javascript, Python, SQL, TypeScript",Hombre Cis,True
1784400.0,Semi-Senior,5,Universitario,Incompleto,"Bash/Shell, Go, HTML, Javascript, PHP, SQL, TypeScript",Hombre Cis,True
4200000.0,Senior,8,,,Ninguno de los anteriores,Mujer Cis,True
3266962.0,Semi-Senior,4,Terciario,Completo,".NET, C#, SQL",Hombre Cis,True
8472400.0,Senior,20,,,Javascript,Hombre Cis,True
2100000.0,Semi-Senior,4,,,Python,Hombre Cis,True
2500000.0,Senior,19,,,Ninguno de los anteriores,Hombre Cis,True
2800000.0,Semi-Senior,4,Terciario,En curso,"Go, Python",Hombre Cis,True
3800000.0,Senior,18,Universitario,Completo,"Bash/Shell, SQL",Hombre Cis,True
12000000.0,Senior,27,,,"Bash/Shell, terraform",Hombre Cis,True
6500000.0,Senior,7,Universitario,Completo,"CSS, HTML, Javascript, TypeScript",Hombre Cis,True
6500000.0,Senior,18,,,"CSS, HTML, Java, Javascript, PHP, Python, TypeScript",Hombre Cis,True
2400000.0,Junior,2,,,"HTML, Javascript, TypeScript",Hombre Cis,True
2639000.0,Senior,8,,,Ninguno de los anteriores,Mujer Cis,True
7000000.0,Senior,10,,,"CSS, HTML, SQL, TypeScript",Hombre Cis,True
1681232.55,Semi-Senior,3,,,"COBOL, Python, SQL",Mujer Cis,True
6319000.0,Senior,8,Universitario,En curso,"HTML, Javascript, Ruby",Hombre Cis,True
1000000.0,Semi-Senior,3,,,".NET, CSS, HTML, Javascript, TypeScript",Hombre Cis,True
5800000.0,Senior,7,Universitario,Incompleto,"Bash/Shell, CSS, HTML, Javascript, SQL, TypeScript",Hombre Cis,True
2288000.0,Senior,6,,,Ninguno de los anteriores,Mujer Cis,True
5500000.0,Semi-Senior,4,,,Python,Mujer Cis,True
1070082.0,Senior,7,Universitario,Incompleto,"Python, SQL",Hombre Cis,True
11500000.0,Senior,20,Maestría,Incompleto,"Python, SQL",Hombre Cis,True
10000000.0,Senior,20,Doctorado,Completo,"HTML, Javascript, Python, SQL",Hombre Cis,True
2000000.0,Semi-Senior,4,,,Ninguno de los anteriores,Mujer Cis,True
3300000.0,Senior,20,,,"Java, Javascript, PHP, SQL",Hombre Cis,True
2612000.0,Semi-Senior,4,,,"HTML, Javascript, Python, SQL, TypeScript",Mujer Cis,True
5200000.0,Senior,10,,,"Javascript, Python, SQL, TypeScript",Hombre Cis,True
8000000.0,Senior,19,,,"Bash/Shell, C++, Javascript, Python, TypeScript",Hombre Cis,True
500000.0,Semi-Senior,5,,,"Arduino, C++, COBOL, CSS, HTML, Javascript, PHP",Mujer Cis,True
5000000.0,Senior,10,Universitario,Completo,"CSS, Dart, Go, Javascript, Kotlin, Swift, TypeScript",Hombre Cis,True
850000.0,Semi-Senior,3,,,".NET, CSS, Javascript, PHP, Python, Solidity, TypeScript",Hombre Cis,True
6500000.0,Semi-Senior,5,,,"CSS, HTML, Javascript, Python, SQL, TypeScript",Hombre Cis,True
1300000.0,Semi-Senior,5,,,"SQL, VBA, Kornshell",Hombre Cis,True
5920000.0,Semi-Senior,4,Doctorado,Completo,"Bash/Shell, Python, SQL",Hombre Cis,True
7000000.0,Senior,12,,,"HTML, Java, Javascript",Hombre Cis,True
5400000.0,Semi-Senior,3,Universitario,Completo,Ninguno de los anteriores,Hombre Cis,True
2700000.0,Senior,15,,,"Python, SQL",Mujer Cis,True
3529000.0,Senior,20,,,Bash/Shell,Hombre Cis,True
2997000.0,Semi-Senior,4,,,"HTML, Javascript, TypeScript",Hombre Cis,True
4600000.0,Semi-Senior,5,,,"C, HTML, Javascript, Python, SQL, VBA",Hombre Cis,True
10355004.0,Senior,13,Terciario,Completo,"Javascript, PHP, TypeScript",Mujer Cis,True
6900000.0,Senior,8,Universitario,Completo,"C#, Go, Java, Javascript, PHP, TypeScript",Hombre Cis,True
4043830.99,Senior,7,Universitario,Incompleto,"Go, Java, Python, SQL",Hombre Cis,True
8145000.0,Senior,20,Universitario,Completo,Ninguno de los anteriores,Mujer Cis,True
11164000.0,Senior,38,Universitario,Completo,".NET, Bash/Shell, C, C#, Javascript, Smalltalk, SQL, TypeScript",Hombre Cis,True
5737140.0,Senior,30,,,"Bash/Shell, Python",Hombre Cis,True
5365000.0,Senior,13,,,Java,Hombre Cis,True
4300000.0,Semi-Senior,4,,,"Bash/Shell, HTML, Java, Javascript, PHP, Python, SQL",Hombre Cis,True
8609527.0,Senior,10,,,"Go, HTML, Java, Javascript, SQL",Hombre Cis,True
3400000.0,Senior,20,Maestría,Completo,"Java, Javascript, TypeScript",Hombre Cis,True
2838546.0,Senior,7,Posgrado/Especialización,Incompleto,"Python, SQL",Hombre Cis,True
3249400.0,Senior,7,,,"Bash/Shell, Python",Hombre Cis,True
11800000.0,Senior,18,,,"Bash/Shell, Javascript, SQL, TypeScript",Hombre Cis,True
2465000.0,Semi-Senior,3,,,"CSS, Go, HTML, PHP, TypeScript",Hombre Cis,True
8200000.0,Senior,27,Universitario,Incompleto,"Bash/Shell, Python, TypeScript",Hombre Cis,True
12100000.0,Senior,14,,,No soy perfil técnico,Mujer Cis,True
7000000.0,Senior,15,Universitario,Incompleto,"Bash/Shell, Groovy, Python",Hombre Cis,True
5061000.0,Semi-Senior,4,,,"CSS, Groovy, HTML, Java, Python",Hombre Cis,True
11994000.0,Senior,15,,,"CSS, Go, HTML, TypeScript",Hombre Cis,True
9500000.0,Senior,10,Universitario,Completo,"Bash/Shell, Python",Hombre Cis,True
3814728.0,Semi-Senior,5,Secundario,Completo,"CSS, HTML, Javascript, SQL, TypeScript",Hombre Cis,True
7250000.0,Senior,11,Universitario,Completo,"Bash/Shell, CSS, HTML, Javascript, Python, SQL, TypeScript",Hombre Cis,True
6800000.0,Senior,19,,,".NET, TypeScript",Hombre Cis,True
9970254.75,Senior,7,Maestría,En curso,"Python, SQL",Hombre Cis,True
8500000.0,Senior,13,,,"Javascript, PHP, SQL",Hombre Cis,True
6000000.0,Senior,13,Universitario,Incompleto,"Bash/Shell, HTML, SQL",Hombre Cis,True
6466839.0,Senior,7,,,Ninguno de los anteriores,Mujer Cis,True
3000000.0,Junior,2,,,"Bash/Shell, Python",Mujer Cis,True
2600000.0,Semi-Senior,5,,,"Javascript, Python, SQL",Mujer Cis,True
2500000.0,Senior,10,,,"Java, Javascript, SQL",Hombre Cis,True
2800000.0,Senior,6,,,"HTML, Javascript, Apex",Mujer Cis,True
1500000.0,Junior,2,Universitario,Completo,".NET, CSS, HTML, Javascript, Python, SQL, TypeScript",Mujer Cis,True
2000000.0,Junior,2,,,Ninguno de los anteriores,Mujer Cis,True
3705000.0,Semi-Senior,3,,,Ninguno de los anteriores,Mujer Cis,True
3600000.0,Semi-Senior,4,,,Bash/Shell,Trans,True
1294687.91,Junior,1,Terciario,Completo,"Javascript, Python, SQL, XML",Hombre Cis,True
2540000.0,Senior,16,,,Ninguno de los anteriores,Hombre Cis,True
9400000.0,Senior,18,Terciario,Completo,".NET, Bash/Shell, C++, C#, CSS, HTML, Javascript, Python, SQL, TypeScript",Hombre Cis,True
3100000.0,Semi-Senior,3,,,Ninguno de los anteriores,Hombre Cis,True
1800000.0,Senior,20,,,"Bash/Shell, Delphi, SQL",Hombre Cis,True
6600000.0,Senior,7,,,"ABAP, Javascript",Hombre Cis,True
5100000.0,Senior,15,,,Swift,Hombre Cis,True
13000000.0,Senior,16,Universitario,Completo,"Bash/Shell, Go, Python, Rust, SQL",Hombre Cis,True
7000000.0,Senior,13,,,"ABAP, CSS, Go, HTML, Javascript, SQL",Hombre Cis,True
1300000.0,Senior,12,,,SQL,Mujer Cis,True
749000.0,Senior,9,Universitario,Completo,"Python, SQL",Hombre Cis,True
4317811.0,Senior,6,Universitario,En curso,"Java, Javascript, TypeScript",Mujer Cis,True
3200000.0,Junior,2,,,Ninguno de los anteriores,Mujer Cis,True
7250000.0,Junior,2,,,"Bash/Shell, CSS, HTML, Javascript, Kotlin, Python, SQL, TypeScript",Mujer Cis,True
6500000.0,Senior,18,,,"Bash/Shell, CSS, Go, HTML, Java, Javascript, Kotlin, Python, SQL, TypeScript",Hombre Cis,True
16159000.0,Senior,18,,,"Bash/Shell, HTML, Python",Hombre Cis,True
4219000.0,Semi-Senior,4,,,"Python, SQL",Hombre Cis,True
6100500.0,Senior,6,Universitario,Completo,"Bash/Shell, Python",Queer,True
5600000.0,Senior,12,,,Ninguno de los anteriores,Mujer Cis,True
5000000.0,Senior,15,Universitario,Incompleto,"HTML, Java, Javascript, Python, SQL",Hombre Cis,True
6150000.0,Senior,6,,,"Bash/Shell, TypeScript",Hombre Cis,True
6700000.0,Senior,12,,,python,Mujer Cis,True
4529693.93,Senior,30,Universitario,Completo,"CSS, HTML, Java, Javascript, TypeScript",Hombre Cis,True
13000000.0,Senior,23,Universitario,Completo,"Javascript, Python, TypeScript",Hombre Cis,True
12700000.0,Senior,9,Posgrado/Especialización,Incompleto,"Bash/Shell, Go, Rust, SQL, TypeScript",Hombre Cis,True
7450000.0,Senior,6,,,"Groovy, HTML, Python, SQL",Trans,True
